subtopic,usage_count,total_usage,cumulative_usage,cumulative_percentage
clean-hostel,6562,4183374,3295345,78.77
bad-restaurant,6496,4183374,3301841,78.93
old-tv,6470,4183374,3308311,79.08
beautiful-pool,6421,4183374,3314732,79.24
poor-lighting,6366,4183374,3321098,79.39
unhelpful-personnel,6209,4183374,3327307,79.54
bad-staff,6183,4183374,3333490,79.68
great-price,6168,4183374,3339658,79.83
excellent-care,6082,4183374,3345740,79.98
memorable-birthday,6065,4183374,3351805,80.12
small-portion,6055,4183374,3357860,80.27
heated-pool,6030,4183374,3363890,80.41
great-guide,6002,4183374,3369892,80.55
dirty-bedroom,5966,4183374,3375858,80.70
great-bartender,5921,4183374,3381779,80.84
helpful-receptionist,5916,4183374,3387695,80.98
great-spa,5681,4183374,3393376,81.12
positive-impression,5680,4183374,3399056,81.25
high-charge,5628,4183374,3404684,81.39
cold-pool,5622,4183374,3410306,81.52
room-equipped,5517,4183374,3415823,81.65
crowded-vallarta,5466,4183374,3421289,81.78
outdated-building,5388,4183374,3426677,81.91
cold-water,5366,4183374,3432043,82.04
poor-renovation,5321,4183374,3437364,82.17
great-show,5216,4183374,3442580,82.29
unpleasant-setting,5195,4183374,3447775,82.42
friendly-receptionist,5045,4183374,3452820,82.54
great-event,4913,4183374,3457733,82.65
friendly-bartender,4858,4183374,3462591,82.77
friendly-bar,4814,4183374,3467405,82.89
great-employee,4684,4183374,3472089,83.00
cold-food,4632,4183374,3476721,83.11
noisy-ac,4625,4183374,3481346,83.22
clean-facility,4611,4183374,3485957,83.33
bad-drink,4495,4183374,3490452,83.44
beautiful-suite,4483,4183374,3494935,83.54
fun-activity,4476,4183374,3499411,83.65
great-amenity,4371,4183374,3503782,83.75
limited-access,4366,4183374,3508148,83.86
bad-internet-availability,4363,4183374,3512511,83.96
great-design,4336,4183374,3516847,84.07
professional-staff,4330,4183374,3521177,84.17
small-accommodation,4329,4183374,3525506,84.27
happy-kid,4323,4183374,3529829,84.38
uncomfortable-furniture,4309,4183374,3534138,84.48
convenient-shuttle,4263,4183374,3538401,84.58
great-care,4246,4183374,3542647,84.68
basic-amenity,4209,4183374,3546856,84.78
rude-service,4182,4183374,3551038,84.88
quick-check,4148,4183374,3555186,84.98
limited-entertainment,4127,4183374,3559313,85.08
bad-coffee,4113,4183374,3563426,85.18
bad-impression,4088,4183374,3567514,85.28
beautiful-ocean,4085,4183374,3571599,85.38
delicious-cuisine,4044,4183374,3575643,85.47
great-coffee,4042,4183374,3579685,85.57
hot-water,4017,4183374,3583702,85.67
hard-pillow,3973,4183374,3587675,85.76
great-gym,3966,4183374,3591641,85.86
bland-food,3962,4183374,3595603,85.95
excellent-value,3932,4183374,3599535,86.04
great-buffet,3851,4183374,3603386,86.14
bad-location,3844,4183374,3607230,86.23
clean-amenity,3793,4183374,3611023,86.32
extra-charge,3719,4183374,3614742,86.41
great-condition,3678,4183374,3618420,86.50
expensive-drink,3674,4183374,3622094,86.58
cold-temperature,3629,4183374,3625723,86.67
free-snack,3579,4183374,3629302,86.76
hot-shower,3544,4183374,3632846,86.84
rude-receptionist,3527,4183374,3636373,86.92
rude-server,3486,4183374,3639859,87.01
expensive-hotel,3467,4183374,3643326,87.09
beautiful-garden,3436,4183374,3646762,87.17
rude-employee,3419,4183374,3650181,87.25
helpful-team,3399,4183374,3653580,87.34
beautiful-building,3388,4183374,3656968,87.42
dirty-floor,3349,4183374,3660317,87.50
great-garden,3313,4183374,3663630,87.58
mediocre-buffet,3306,4183374,3666936,87.65
attentive-butler,3258,4183374,3670194,87.73
memorable-experience,3224,4183374,3673418,87.81
broken-door,3210,4183374,3676628,87.89
great-cleaning,3202,4183374,3679830,87.96
poor-care,3181,4183374,3683011,88.04
uncomfortable-stay,3155,4183374,3686166,88.11
great-drink,3146,4183374,3689312,88.19
poor-design,3116,4183374,3692428,88.26
clean-pool,3072,4183374,3695500,88.34
professional-service,3060,4183374,3698560,88.41
clean-bathroom,2994,4183374,3704548,88.55
comfortable-seating,2994,4183374,3704548,88.55
small-gym,2982,4183374,3707530,88.63
unprofessional-staff,2980,4183374,3710510,88.70
friendly-atmosphere,2935,4183374,3713445,88.77
unhelpful-concierge,2910,4183374,3716355,88.84
checkin-flexible,2869,4183374,3719224,88.90
poor-dinner,2826,4183374,3722050,88.97
dirty-wall,2819,4183374,3724869,89.04
heating-insufficient,2816,4183374,3727685,89.11
good-value,2815,4183374,3730500,89.17
late-check,2812,4183374,3733312,89.24
helpful-manager,2795,4183374,3736107,89.31
great-massage,2765,4183374,3738872,89.37
great-bar,2755,4183374,3741627,89.44
weak-pressure,2728,4183374,3744355,89.51
beautiful-restaurant,2686,4183374,3747041,89.57
small-fridge,2676,4183374,3749717,89.63
convenient-access,2670,4183374,3752387,89.70
overpriced-food,2669,4183374,3755056,89.76
crowded-pool,2660,4183374,3757716,89.83
old-furniture,2567,4183374,3760283,89.89
dirty-bed,2564,4183374,3762847,89.95
slippery-floor,2543,4183374,3765390,90.01
delayed-maintenance,2538,4183374,3767928,90.07
great-parking,2512,4183374,3770440,90.13
poor-ingredient,2510,4183374,3772950,90.19
crowded-lobby,2502,4183374,3777954,90.31
friendly-family,2502,4183374,3777954,90.31
great-server,2490,4183374,3780444,90.37
bad-wifi-range,2428,4183374,3782872,90.43
helpful-recommendation,2413,4183374,3785285,90.48
dirty-water,2406,4183374,3787691,90.54
crowded-lounge,2390,4183374,3790081,90.60
limited-seating,2381,4183374,3792462,90.66
great-environment,2372,4183374,3794834,90.71
poor-recommendation,2340,4183374,3797174,90.77
luxurious-hotel,2336,4183374,3799510,90.82
delicious-dinner,2335,4183374,3801845,90.88
friendly-guest,2290,4183374,3804135,90.93
boring-show,2285,4183374,3806420,90.99
difficult-access,2281,4183374,3810982,91.10
poor-standard,2281,4183374,3810982,91.10
hard-mattress,2245,4183374,3813227,91.15
rude-waiter,2228,4183374,3815455,91.21
friendly-team,2209,4183374,3817664,91.26
dirty-cleanliness,2197,4183374,3819861,91.31
modern-hotel,2153,4183374,3822014,91.36
poor-decoration,2143,4183374,3824157,91.41
slow-wifi,2135,4183374,3826292,91.46
dirty-carpet,2128,4183374,3828420,91.52
great-impression,2084,4183374,3830504,91.56
great-waiter,2079,4183374,3832583,91.61
local-dish,2078,4183374,3834661,91.66
delicious-drink,2064,4183374,3836725,91.71
free-parking,2057,4183374,3838782,91.76
excellent-condition,2018,4183374,3840800,91.81
clean-resort,2009,4183374,3842809,91.86
personal-attention,1972,4183374,3844781,91.91
beautiful-decor,1967,4183374,3846748,91.95
small-elevator,1946,4183374,3848694,92.00
bland-cuisine,1939,4183374,3850633,92.05
poor-sleep,1937,4183374,3852570,92.09
fresh-breakfast,1930,4183374,3854500,92.14
