subtopic,usage_count,total_usage,cumulative_usage,cumulative_percentage
broken-chair,275,4183374,4155599,99.34
practical-layout,271,4183374,4156141,99.35
small-plate,271,4183374,4156141,99.35
high-expectation,261,4183374,4156402,99.36
clear-notice,254,4183374,4156656,99.36
loud-fiesta,253,4183374,4156909,99.37
fun-party,250,4183374,4157409,99.38
remote-location,250,4183374,4157409,99.38
high-rate,249,4183374,4157658,99.39
convenient-outlet,248,4183374,4158154,99.40
old-blanket,248,4183374,4158154,99.40
expensive-massage,245,4183374,4158399,99.40
modern-building,244,4183374,4158643,99.41
cool-fridge,242,4183374,4159127,99.42
great-transfer,242,4183374,4159127,99.42
efficient-ac,241,4183374,4159368,99.43
dirty-patio,238,4183374,4159606,99.43
high-standard,235,4183374,4159841,99.44
rude-guest,234,4183374,4160075,99.44
fresh-air,230,4183374,4160765,99.46
outdated-style,230,4183374,4160765,99.46
partial-view,230,4183374,4160765,99.46
friendly-traveller,229,4183374,4161223,99.47
large-tv,229,4183374,4161223,99.47
modern-decor,226,4183374,4161449,99.48
convenient-shop,225,4183374,4161674,99.48
fast-elevator,224,4183374,4161898,99.49
high-cost,223,4183374,4162121,99.49
staff-multilingual,216,4183374,4162337,99.50
noisy-family,213,4183374,4162550,99.50
uninformative-guide,209,4183374,4162759,99.51
crowded-rooftop,207,4183374,4162966,99.51
comprehensive-inclusive,206,4183374,4163790,99.53
good-pressure,206,4183374,4163790,99.53
great-taste,206,4183374,4163790,99.53
lush-garden,206,4183374,4163790,99.53
delicious-taste,205,4183374,4164200,99.54
hot-air,205,4183374,4164200,99.54
fresh-juice,203,4183374,4164403,99.55
free-wifi,201,4183374,4164604,99.55
meager-portion,199,4183374,4164803,99.56
beautiful-courtyard,198,4183374,4165001,99.56
neglected-grounds,193,4183374,4165194,99.57
natural-light,190,4183374,4165384,99.57
small-cup,188,4183374,4165760,99.58
warm-beer,188,4183374,4165760,99.58
noisy-child,187,4183374,4166134,99.59
rude-comment,187,4183374,4166134,99.59
hardworking-worker,186,4183374,4166506,99.60
hidden-entrance,186,4183374,4166506,99.60
modern-style,185,4183374,4166691,99.60
great-package,184,4183374,4167243,99.61
hot-meal,184,4183374,4167243,99.61
play-available,184,4183374,4167243,99.61
local-shop,181,4183374,4167605,99.62
small-hostel,181,4183374,4167605,99.62
dirty-grounds,180,4183374,4167785,99.63
bad-vibe,178,4183374,4167963,99.63
fresh-ingredient,176,4183374,4168315,99.64
late-shuttle,176,4183374,4168315,99.64
great-help,175,4183374,4168490,99.64
modern-gym,174,4183374,4168664,99.65
huge-disappointment,172,4183374,4169008,99.66
neglected-courtyard,172,4183374,4169008,99.66
comfortable-lounger,170,4183374,4169348,99.66
serious-concern,170,4183374,4169348,99.66
stale-ingredient,169,4183374,4169517,99.67
play-absent,168,4183374,4169685,99.67
minor-concern,167,4183374,4169852,99.68
friendly-child,165,4183374,4170182,99.68
loud-party,165,4183374,4170182,99.68
convenient-machine,164,4183374,4170346,99.69
long-distance,163,4183374,4170509,99.69
expensive-tour,162,4183374,4170833,99.70
uncomfortable-lounger,162,4183374,4170833,99.70
cloudy-sunset,159,4183374,4170992,99.70
small-club,157,4183374,4171149,99.71
low-standard,154,4183374,4171303,99.71
beautiful-bar,153,4183374,4171456,99.72
friendly-check,151,4183374,4171758,99.72
natural-spring,151,4183374,4171758,99.72
clean-air,150,4183374,4171908,99.73
charger-available,148,4183374,4172352,99.74
friendly-group,148,4183374,4172352,99.74
old-property,148,4183374,4172352,99.74
great-shop,147,4183374,4172499,99.74
shuttle-unreliable,146,4183374,4172645,99.74
lost-key,143,4183374,4172788,99.75
low-cost,141,4183374,4173070,99.75
warm-bottle,141,4183374,4173070,99.75
fresh-smell,139,4183374,4173348,99.76
short-tour,139,4183374,4173348,99.76
narrow-entrance,137,4183374,4173485,99.76
cold-lunch,136,4183374,4173757,99.77
high-class,136,4183374,4173757,99.77
perfect-shape,131,4183374,4174019,99.78
small-patio,131,4183374,4174019,99.78
noisy-group,130,4183374,4174149,99.78
broken-game,128,4183374,4174277,99.78
great-store,127,4183374,4174404,99.79
great-sunset,126,4183374,4174782,99.79
helpful-tip,126,4183374,4174782,99.79
small-shop,126,4183374,4174782,99.79
expensive-transfer,124,4183374,4175030,99.80
great-building,124,4183374,4175030,99.80
disruptive-family,121,4183374,4175272,99.81
full-refund,121,4183374,4175272,99.81
uncooperative-team,119,4183374,4175391,99.81
great-group,117,4183374,4175625,99.81
large-window,117,4183374,4175625,99.81
poor-board,116,4183374,4175741,99.82
comfortable-chair,114,4183374,4175855,99.82
culture-rich,113,4183374,4175968,99.82
noisy-kid,112,4183374,4176192,99.83
shuttle-reliable,112,4183374,4176192,99.83
expensive-store,110,4183374,4176412,99.83
unavailable-butler,110,4183374,4176412,99.83
free-transfer,109,4183374,4176521,99.84
convenient-bag,108,4183374,4176629,99.84
noisy-couple,107,4183374,4176843,99.84
small-courtyard,107,4183374,4176843,99.84
expensive-shop,106,4183374,4176949,99.85
clean-floor,105,4183374,4177159,99.85
poor-class,105,4183374,4177159,99.85
multiple-request,104,4183374,4177263,99.85
decor-dull,103,4183374,4177366,99.86
indifferent-care,102,4183374,4177468,99.86
hot-egg,101,4183374,4177569,99.86
free-tour,100,4183374,4177869,99.87
functional-machine,100,4183374,4177869,99.87
useless-recommendation,100,4183374,4177869,99.87
expensive-package,97,4183374,4177966,99.87
rocky-beach,96,4183374,4178062,99.87
clean-table,94,4183374,4178156,99.88
exclusive-club,93,4183374,4178342,99.88
old-style,93,4183374,4178342,99.88
clear-water,92,4183374,4178526,99.88
thin-sheet,92,4183374,4178526,99.88
tense-atmosphere,90,4183374,4178616,99.89
cold-spring,89,4183374,4178794,99.89
expensive-vendor,89,4183374,4178794,99.89
free-wine,88,4183374,4178882,99.89
dinner-flavorful,86,4183374,4179140,99.90
quick-request,86,4183374,4179140,99.90
short-notice,86,4183374,4179140,99.90
small-perk,85,4183374,4179225,99.90
hard-chair,84,4183374,4179561,99.91
low-class,84,4183374,4179561,99.91
rotten-fruit,84,4183374,4179561,99.91
small-store,84,4183374,4179561,99.91
small-garden,83,4183374,4179644,99.91
small-tub,82,4183374,4179726,99.91
local-market,81,4183374,4179888,99.92
worn-shape,81,4183374,4179888,99.92
great-bonus,80,4183374,4180128,99.92
small-group,80,4183374,4180128,99.92
vague-notice,80,4183374,4180128,99.92
forgotten-birthday,79,4183374,4180365,99.93
hot-plate,79,4183374,4180365,99.93
short-massage,79,4183374,4180365,99.93
decor-vibrant,76,4183374,4180517,99.93
high-fee,76,4183374,4180517,99.93
rude-desk,69,4183374,4180586,99.93
boring-event,64,4183374,4180650,99.93
disruptive-traveller,63,4183374,4180713,99.94
expensive-market,62,4183374,4180899,99.94
modern-unit,62,4183374,4180899,99.94
short-show,62,4183374,4180899,99.94
expensive-club,61,4183374,4180960,99.94
beautiful-glass,59,4183374,4181019,99.94
fresh-egg,58,4183374,4181077,99.95
beautiful-sand,57,4183374,4181134,99.95
clean-cup,56,4183374,4181190,99.95
great-window,55,4183374,4181355,99.95
small-view,55,4183374,4181355,99.95
yoga-absent,55,4183374,4181355,99.95
clean-carpet,54,4183374,4181463,99.95
small-rooftop,54,4183374,4181463,99.95
local-vendor,52,4183374,4181515,99.96
grand-entrance,51,4183374,4181668,99.96
poor-treat,51,4183374,4181668,99.96
warm-wine,51,4183374,4181668,99.96
private-party,50,4183374,4181768,99.96
small-bag,50,4183374,4181768,99.96
fresh-water,49,4183374,4181866,99.96
ordinary-birthday,49,4183374,4181866,99.96
friendly-vendor,48,4183374,4181914,99.97
great-market,47,4183374,4181961,99.97
quick-help,46,4183374,4182007,99.97
clean-glass,45,4183374,4182097,99.97
clean-window,45,4183374,4182097,99.97
useless-feature,44,4183374,4182141,99.97
harmless-bug,43,4183374,4182227,99.97
low-expectation,43,4183374,4182227,99.97
decorative-wall,42,4183374,4182269,99.97
late-transfer,41,4183374,4182351,99.98
rough-ocean,41,4183374,4182351,99.98
ordinary-treat,40,4183374,4182391,99.98
clean-wall,39,4183374,4182469,99.98
dated-suite,39,4183374,4182469,99.98
great-tip,37,4183374,4182506,99.98
bad-shape,36,4183374,4182542,99.98
boring-game,35,4183374,4182612,99.98
new-key,35,4183374,4182612,99.98
hot-dish,34,4183374,4182748,99.99
loud-bar,34,4183374,4182748,99.99
rude-butler,34,4183374,4182748,99.99
torn-bag,34,4183374,4182748,99.99
great-treat,33,4183374,4182781,99.99
delicious-board,31,4183374,4182874,99.99
lazy-employee,31,4183374,4182874,99.99
meaningless-gesture,31,4183374,4182874,99.99
beautiful-floor,30,4183374,4182904,99.99
tense-vibe,27,4183374,4182931,99.99
small-market,26,4183374,4182957,99.99
rare-cleaning,23,4183374,4182980,99.99
cold-ocean,22,4183374,4183068,99.99
great-shape,22,4183374,4183068,99.99
small-bonus,22,4183374,4183068,99.99
warm-juice,22,4183374,4183068,99.99
beautiful-wave,21,4183374,4183089,99.99
disruptive-couple,19,4183374,4183108,99.99
beautiful-tile,18,4183374,4183162,99.99
lush-grounds,18,4183374,4183162,99.99
murky-spring,18,4183374,4183162,99.99
culture-poor,17,4183374,4183213,100.00
disruptive-kid,17,4183374,4183213,100.00
useless-bonus,17,4183374,4183213,100.00
strong-wave,16,4183374,4183229,100.00
lazy-worker,15,4183374,4183244,100.00
clean-tile,14,4183374,4183272,100.00
large-cup,14,4183374,4183272,100.00
clean-plate,13,4183374,4183285,100.00
thin-door,12,4183374,4183297,100.00
fake-smile,11,4183374,4183341,100.00
low-fee,11,4183374,4183341,100.00
rare-smile,11,4183374,4183341,100.00
rocky-sand,11,4183374,4183341,100.00
ordinary-sunset,9,4183374,4183350,100.00
low-charge,8,4183374,4183358,100.00
gentle-wave,5,4183374,4183368,100.00
useless-tip,5,4183374,4183368,100.00
rough-wave,4,4183374,4183372,100.00
vague-tip,2,4183374,4183374,100.00
